Model,Total Samples,Correct,Incorrect,Overall Accuracy (%),Ethics (%),Illegal (%),Mental Health (%),Offensive (%),Physical Health (%),Privacy (%),Trustfulness (%),Unfairness (%)
deepseek-v3p1-terminus_aratrust_eval_001,521,479,42,91.93857965451056,81.66666666666667,94.33962264150944,93.42105263157895,92.7536231884058,94.52054794520548,98.24561403508771,88.46153846153845,92.72727272727272
qwen3-235b-a22b-instruct-2507_aratrust_eval_001,521,474,47,90.97888675623801,78.33333333333333,98.11320754716981,96.05263157894737,85.5072463768116,97.26027397260275,96.49122807017544,84.61538461538461,92.72727272727272
deepseek-r1-0528_aratrust_eval_001,521,464,57,89.0595009596929,76.66666666666667,96.22641509433963,88.1578947368421,86.95652173913044,91.78082191780823,94.73684210526315,87.17948717948718,92.72727272727272
qwen3-235b-a22b-thinking-2507_aratrust_eval_002,521,448,73,85.98848368522073,71.66666666666667,92.45283018867924,89.47368421052632,66.66666666666666,90.41095890410958,96.49122807017544,89.74358974358975,92.72727272727272
qwen3-235b-a22b-thinking-2507_aratrust_eval_001,521,432,89,82.91746641074856,76.66666666666667,90.56603773584906,86.8421052631579,59.42028985507246,83.56164383561644,92.98245614035088,84.61538461538461,92.72727272727272
